New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BROOKLYN,1,D_Partial Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Elevator - Defective/Not Working
Department of Parks and Recreation,Damaged Tree,Street,The Department of Parks and Recreation has corrected the condition.,QUEENS,1,D_Defective Hardware
Department of Transportation,Street Condition,Street,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,MANHATTAN,1,D_Cave-in
Department of Transportation,Street Condition,Street,The  Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists the Agency may issue the responsible party a summons and/or correct the condition.,MANHATTAN,1,D_With License Plate
New York City Police Department,Derelict Vehicle,Street/Sidewalk,The Police Department reviewed your complaint and provided additional information below.,QUEENS,1,D_22 Weeds
Department of Health and Mental Hygiene,Unleashed Dog,Public/Unfenced Area,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,BRONX,-1,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,STATEN ISLAND,1,D_22 Weeds
New York City Police Department,Illegal Parking,Street/Sidewalk,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,-1,D_22 Weeds
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,BRONX,1,D_Controller
HRA Benefit Card Replacement,Benefit Card Replacement,Address Outside of NYC,The Human Resources Administration received your request. If you are eligible for a benefit card replacement you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.,Unspecified,1,D_15 Street Cond/Dump-Out/Drop-Off
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,QUEENS,1,D_Noise: Alarms (NR3)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Noise Barking Dog (NR5)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department issued a summons in response to the complaint.,QUEENS,1,D_Dirty Water (WE)
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_Loud Music/Party
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,MANHATTAN,1,D_On Site Test
Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,Street Address,The Fire Department contacted you and scheduled an inspection. See Notes to Customer for more details.,MANHATTAN,1,D_E3 Dirty Sidewalk
Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after your initial complaint please make a new complaint.,MANHATTAN,2,D_In Car
New York City Police Department,Animal Abuse,Parking Lot,The Police Department responded and upon arrival those responsible for the condition were gone.,QUEENS,1,D_Elevator - Defective/Not Working
New York City Police Department,Animal Abuse,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BROOKLYN,1,D_Blocked Hydrant
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,QUEENS,1,D_NO LIGHTING
Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,3,D_GARBAGE/RECYCLING STORAGE
Department of Housing Preservation and Development,UNSANITARY CONDITION,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BROOKLYN,3,D_No Access
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and determined that police action was not necessary.,BROOKLYN,1,D_Zoning - Non-Conforming/Illegal Vehicle Storage
New York City Police Department,Noise - Commercial,Store/Commercial,The Police Department responded and upon arrival those responsible for the condition were gone.,MANHATTAN,1,D_Building Shaking/Vibrating/Structural Stability
New York City Police Department,Blocked Driveway,Street/Sidewalk,The Police Department responded to the complaint and took action to fix the condition.,BRONX,1,D_False Advertising
New York City Police Department,Illegal Parking,Street/Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,BRONX,1,D_14 Derelict Vehicles
Taxi and Limousine Commission,Taxi Complaint,Street,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,MANHATTAN,1,D_Blocked - Construction
Department of Transportation,Street Condition,Street,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,BROOKLYN,1,D_Illegal Conversion Of Residential Building/Space
